Position,Level,Salary,Years of Experience
Intern,0.5,30000,2.9
Trainee,1.0,35000,5.7
Business Analyst,1.5,45000,8.5
Junior Consultant,2.0,50000,12.7
Consultant,2.5,55000,17.6
Senior Consultant,3.0,60000,17.6
Lead Consultant,3.5,70000,21.0
Manager,4.0,80000,23.8
Senior Manager,4.5,95000,25.9
Country Manager,5.0,110000,28.7
Associate Director,5.5,125000,30.1
Region Manager,6.0,150000,30.1
Senior Region Manager,6.5,175000,32.9
Partner,7.0,200000,31.5
Associate Partner,7.5,230000,33.6
Senior Partner,8.0,300000,32.9
Executive Director,8.5,375000,34.3
C-level,9.0,500000,35.0
Deputy CEO,9.5,750000,32.2
CEO,10.0,1000000,34.3
Board Member,10.5,1200000,32.9
Vice Chairman,11.0,1500000,35.0
Chairman,11.5,1800000,34.3
Industry Advisor,12.0,2200000,32.2
Business Owner,12.5,2600000,32.2
Investor,13.0,3000000,33.6
Angel Investor,13.5,3500000,33.6
Venture Capitalist,14.0,4000000,32.9
Private Equity Partner,14.5,5000000,34.3
Hedge Fund Manager,15.0,6000000,34.3
Investment Banker,15.5,7000000,33.6
Philanthropist,16.0,8000000,34.3
Entrepreneur,16.5,9000000,34.3
Tech Founder,17.0,10000000,32.2
Unicorn Founder,17.5,12000000,33.6
Billionaire CEO,18.0,14000000,35.0
Wealthy Investor,18.5,16000000,33.6
Global Business Leader,19.0,18000000,35.0
Corporate Titan,19.5,20000000,32.2
Financial Mogul,20.0,25000000,32.9
Tech Mogul,20.5,30000000,34.3
Business Legend,21.0,35000000,32.2
Empire Builder,21.5,40000000,34.3
Elite Investor,22.0,50000000,32.9
World Influencer,22.5,60000000,32.9
Top 1% Entrepreneur,23.0,75000000,32.2
Forbes Billionaire,23.5,100000000,32.9
Global Icon,24.0,120000000,35.0
